id_director,name_director
dr0000041,Akira Kurosawa
dr0000033,Alfred Hitchcock
dr0004056,Andrew Stanton
dr0751577,Anthony Russo
dr0000697,Billy Wilder
dr2130108,Bob Persichetti
dr0094435,Bong Joon Ho
dr0000361,Brian De Palma
dr0001741,Bryan Singer
dr0000122,Charles Chaplin
dr0634240,Christopher Nolan
dr1167933,Damián Szifron
dr3227090,Damien Chazelle
dr0004716,Darren Aronofsky
dr0000399,David Fincher
dr0000180,David Lean
dr0001053,Ethan Coen
dr0576987,Fernando Meirelles
dr0003697,Florian Henckel von Donnersmarck
dr0000338,Francis Ford Coppola
dr0001008,Frank Capra
dr0001104,Frank Darabont
dr0000485,Fritz Lang
dr0000184,George Lucas
dr0868153,Giuseppe Tornatore
dr0001814,Gus Van Sant
dr0594503,Hayao Miyazaki
dr0449984,Irvin Kershner
dr0847223,Isao Takahata
dr0000116,James Cameron
dr0574625,James McTeigue
dr0000466,Jean-Pierre Jeunet
dr0000814,John G. Avildsen
dr0005124,John Lasseter
dr0001129,Jonathan Demme
dr2676052,Joseph Kosinski
dr0002728,Juan José Campanella
dr0905154,Lana Wachowski
dr0881279,Lee Unkrich
dr0000108,Luc Besson
dr0796117,M. Night Shyamalan
dr1396121,Makoto Shinkai
dr0000217,Martin Scorsese
dr0462030,Masaki Kobayashi
dr0000154,Mel Gibson
dr0002031,Michael Curtiz
dr0327273,Michel Gondry
dr0001232,Milos Forman
dr1701024,Nadine Labaki
dr0619923,Olivier Nakache
dr0000080,Orson Welles
dr0661791,Park Chan-wook
dr0000759,Paul Thomas Anderson
dr0230032,Pete Docter
dr0001392,Peter Jackson
dr0001837,Peter Weir
dr0000233,Quentin Tarantino
dr0386246,Rajkumar Hirani
dr0549658,Richard Marquand
dr0000631,Ridley Scott
dr0001661,Rob Reiner
dr0612322,Robert Mulligan
dr0000709,Robert Zemeckis
dr0000905,Roberto Benigni
dr0021249,Roger Allers
dr0000591,Roman Polanski
dr0005222,Sam Mendes
dr0001466,Sergio Leone
dr0001486,Sidney Lumet
dr0002045,Stanley Donen
dr0000040,Stanley Kubrick
dr0000537,Steve McQueen
dr0000229,Steven Spielberg
dr0899121,Thomas Vinterberg
dr0680846,Todd Phillips
dr0443411,Tony Kaye
dr0027572,Wes Anderson
dr0000583,Wolfgang Petersen
