id_writer,name_writer
wr0002005,Agatha Christie
wr0000041,Akira Kurosawa
wr0636435,Akiyuki Nosaka
wr0050332,Alan Ball
wr0178785,Alec Coppel
wr0001825,Andrew Kevin Walker
wr0629272,Andrew Niccol
wr0121256,Anthony Burgess
wr0000255,Ben Affleck
wr0173679,Betty Comden
wr0004170,Bob Kane
wr0094435,Bong Joon Ho
wr0102818,Charles Brackett
wr0000122,Charles Chaplin
wr0442109,Charlie Kaufman
wr0003160,Christopher McQuarrie
wr0634240,Christopher Nolan
wr1793993,Christopher Priest
wr0657333,Chuck Palahniuk
wr1038805,Clark Cheng
wr0565092,Cormac McCarthy
wr3227090,Damien Chazelle
wr0639321,Dan O'Bannon
wr0004716,Darren Aronofsky
wr0291905,David Franzoni
wr0571346,David McKenna
wr0275286,David S. Goyer
wr3160078,Eduardo Sacheri
wr0499626,Ernest Lehman
wr0003697,Florian Henckel von Donnersmarck
wr0329304,Frances Goodrich
wr1628380,Garon Tsuchiya
wr0000184,George Lucas
wr1238855,German Servidio
wr5058839,Gillian Flynn
wr0868153,Giuseppe Tornatore
wr0491011,Guillaume Laurant
wr0497369,Harper Lee
wr0340580,Harry Grey
wr0594503,Hayao Miyazaki
wr0644823,Hideo Oguni
wr0575293,Irene Mecchi
wr0866058,J.R.R. Tolkien
wr0483766,Jake LaMotta
wr0000116,James Cameron
wr0622288,Jeff Nathanson
wr0682066,Jeff Pidgeon
wr0143596,Jim Cash
wr0714114,Jim Reardon
wr0002144,John Houseman
wr0005124,John Lasseter
wr0371088,John Michael Hayes
wr0825010,Joseph Stefano
wr0258493,Julius J. Epstein
wr0450181,Ken Kesey
wr0436164,Laeta Kalogridis
wr0905152,Lilly Wachowski
wr0000108,Luc Besson
wr0898812,Luciano Vincenzoni
wr0796117,M. Night Shyamalan
wr0701374,Mario Puzo
wr0017690,Matthew Aldrich
wr0000341,Michael Crichton
wr0380282,Michael Herr
wr9878616,Michelle Keserwany
wr0301274,Neil Gaiman
wr0683380,Nicholas Pileggi
wr0000231,Oliver Stone
wr0619923,Olivier Nakache
wr0001707,Paul Schrader
wr0000759,Paul Thomas Anderson
wr0513130,Paulo Lins
wr0001940,Peter Benchley
wr0520488,Phil Lord
wr0442241,Philip Kaufman
wr0000233,Quentin Tarantino
wr0386246,Rajkumar Hirani
wr0908824,Randall Wallace
wr0741627,Reginald Rose
wr0004122,Robert Bolt
wr0734441,Robert Rodat
wr0000709,Robert Zemeckis
wr0006872,Sergio Donati
wr1185849,Solomon Northup
wr0498278,Stan Lee
wr0000040,Stanley Kubrick
wr0959003,Stefan Zweig
wr0000175,Stephen King
wr0000230,Sylvester Stallone
wr1010540,Terence Winter
wr0902376,Thea von Harbou
wr0365383,Thomas Harris
wr0447745,Thomas Keneally
wr2105585,Tobias Lindholm
wr0776114,Tom Schulman
wr0148437,Vincenzo Cerami
wr1184258,William Monahan
wr0343165,Winston Groom
wr0844262,Wladyslaw Szpilman
wr0000583,Wolfgang Petersen
wr0847668,Yasuhiko Takiguchi
wr0537004,Zdenek Mahler
